country,ecoSeries,ecoAPI,localAPI,localSeries,localDataset,Title,SubTitle,API_base,API_full,source,source_long,description,units,date,field,multiplier
usa,infc,https://api.economicsobservatory.com/usa/infc,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=CPILFESL,CPILFESL,,Inflation - core,CPI ex food and energy,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=CPILFESL,FRED,US Federal Reserve Economic Data,,%,observations.date,observations.value,1
usa,grow,https://api.economicsobservatory.com/usa/grow,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=GDPC1,GDPC1,,Growth,Real GDP,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=GDPC1,FRED,US Federal Reserve Economic Data,,%,observations.date,observations.value,1
usa,prod,https://api.economicsobservatory.com/usa/prod,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=OPHNFB,OPHNFB,,Productivity,Output per hour,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=OPHNFB,FRED,US Federal Reserve Economic Data,,"Index 2012 = 100, Seasonally Adjusted",observations.date,observations.value,1
usa,houp,https://api.economicsobservatory.com/usa/houp,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=USSTHPI,USSTHPI,,House Prices,Average,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=USSTHPI,FRED,US Federal Reserve Economic Data,,Index 1980 Q1 = 100,observations.date,observations.value,1
usa,ineq,https://api.economicsobservatory.com/usa/ineq,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=SIPOVGINIUSA,SIPOVGINIUSA,,Inequality,Gini coefficient - disposable income,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=SIPOVGINIUSA,FRED,US Federal Reserve Economic Data,,Index,observations.date,observations.value,1
usa,inac,https://api.economicsobservatory.com/usa/inac,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=LRIN64TTUSQ156S,LRIN64TTUSQ156S,,Inactivity,Age 15-64 - % workforce,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=LRIN64TTUSQ156S,FRED,US Federal Reserve Economic Data,,%,observations.date,observations.value,1
usa,debt,https://api.economicsobservatory.com/usa/debt,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=GFDEGDQ188S,GFDEGDQ188S,,Debt,Public Sector Net Debt - % GDP,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=GFDEGDQ188S,FRED,US Federal Reserve Economic Data,,"% of GDP, Seasonally Adjusted",observations.date,observations.value,1
usa,debc,https://api.economicsobservatory.com/usa/debc,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=DGS10,DGS10,,Debt costs,10 year government bond yield,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=DGS10,FRED,US Federal Reserve Economic Data,,,observations.date,observations.value,1
usa,rate,https://api.economicsobservatory.com/usa/rate,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=DFF,DFF,,Fed Funds,Effective Federal Reserve Rate,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=DFF,FRED,US Federal Reserve Economic Data,,,observations.date,observations.value,1
usa,empl,https://api.economicsobservatory.com/usa/empl,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=PAYEMS,PAYEMS,,Employment,Non-farm payroll,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=PAYEMS,FRED,US Federal Reserve Economic Data,,,observations.date,observations.value,1
usa,mepa,https://api.economicsobservatory.com/usa/mepa,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=LES1252881600Q,LES1252881600Q,,Pay,Median - inflation adjusted,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=LES1252881600Q,FRED,US Federal Reserve Economic Data,,,observations.date,observations.value,1
usa,save,https://api.economicsobservatory.com/usa/save,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=PSAVERT,PSAVERT,,Saving rate,As % of disposale income,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=PSAVERT,FRED,US Federal Reserve Economic Data,,,observations.date,observations.value,1
usa,expo,https://api.economicsobservatory.com/usa/expo,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=EXPGS,EXPGS,,Exports,Goods - GBP million,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=EXPGS,FRED,US Federal Reserve Economic Data,,,observations.date,observations.value,1
usa,impo,https://api.economicsobservatory.com/usa/impo,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=IMPGS,IMPGS,,Imports,Goods - GBP million,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=IMPGS,FRED,US Federal Reserve Economic Data,,,observations.date,observations.value,1
usa,army,https://api.economicsobservatory.com/usa/army,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=B4380C0A173NBEA,B4380C0A173NBEA,,Military,Employment - thousands,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=B4380C0A173NBEA,FRED,US Federal Reserve Economic Data,,,observations.date,observations.value,1
can,infl,https://api.economicsobservatory.com/can/infl,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=108785713,108785713,,Inflation,CPI all,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=108785713,STATCAN,Statistics Canada,,,object.vectorDataPoint.refPer,object.vectorDataPoint.value,1
can,popu,https://api.economicsobservatory.com/can/popu,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=2062809,2062809,,Population,Thousands,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=2062809,STATCAN,Statistics Canada,,,object.vectorDataPoint.refPer,object.vectorDataPoint.value,1
can,labo,https://api.economicsobservatory.com/can/labo,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=2062810,2062810,,Labour force,Thousands,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=2062810,STATCAN,Statistics Canada,,,object.vectorDataPoint.refPer,object.vectorDataPoint.value,1
can,empl,https://api.economicsobservatory.com/can/empl,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=2062811,2062811,,Employment,Thousands,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=2062811,STATCAN,Statistics Canada,,,object.vectorDataPoint.refPer,object.vectorDataPoint.value,1
can,emft,https://api.economicsobservatory.com/can/emft,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=2062812,2062812,,Full-time employment,Thousands,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=2062812,STATCAN,Statistics Canada,,,object.vectorDataPoint.refPer,object.vectorDataPoint.value,1
can,empt,https://api.economicsobservatory.com/can/empt,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=2062813,2062813,,Part-time employment ,Thousands,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=2062813,STATCAN,Statistics Canada,,,object.vectorDataPoint.refPer,object.vectorDataPoint.value,1
can,unem,https://api.economicsobservatory.com/can/unem,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=2062814,2062814,,Unemployment,Thousands,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=2062814,STATCAN,Statistics Canada,,,object.vectorDataPoint.refPer,object.vectorDataPoint.value,1
can,unra,https://api.economicsobservatory.com/can/unra,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=2062815,2062815,,Unemployment rate,Percentage,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=2062815,STATCAN,Statistics Canada,,,object.vectorDataPoint.refPer,object.vectorDataPoint.value,1
can,?,https://api.economicsobservatory.com/can/?,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=2062816,2062816,,Participation rate,Percentage,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=2062816,STATCAN,Statistics Canada,,,object.vectorDataPoint.refPer,object.vectorDataPoint.value,1
can,?,https://api.economicsobservatory.com/can/?,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=2062817,2062817,,Employment rate,Percentage,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=2062817,STATCAN,Statistics Canada,,,object.vectorDataPoint.refPer,object.vectorDataPoint.value,1
can,?,https://api.economicsobservatory.com/can/?,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=62305723,62305723,,Final consumption expenditure,CAD millions,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=62305723,STATCAN,Statistics Canada,,,object.vectorDataPoint.refPer,object.vectorDataPoint.value,1
can,?,https://api.economicsobservatory.com/can/?,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=62305724,62305724,,Household final consumption expenditure,CAD millions,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=62305724,STATCAN,Statistics Canada,,,object.vectorDataPoint.refPer,object.vectorDataPoint.value,1
can,?,https://api.economicsobservatory.com/can/?,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=62305725,62305725,,Goods,CAD millions,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=62305725,STATCAN,Statistics Canada,,,object.vectorDataPoint.refPer,object.vectorDataPoint.value,1
can,?,https://api.economicsobservatory.com/can/?,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=62305726,62305726,,Durable goods,CAD millions,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=62305726,STATCAN,Statistics Canada,,,object.vectorDataPoint.refPer,object.vectorDataPoint.value,1
can,?,https://api.economicsobservatory.com/can/?,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=62305727,62305727,,Semi-durable goods,CAD millions,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=62305727,STATCAN,Statistics Canada,,,object.vectorDataPoint.refPer,object.vectorDataPoint.value,1
can,?,https://api.economicsobservatory.com/can/?,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=62305728,62305728,,Non-durable goods,CAD millions,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=62305728,STATCAN,Statistics Canada,,,object.vectorDataPoint.refPer,object.vectorDataPoint.value,1
can,?,https://api.economicsobservatory.com/can/?,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=62305729,62305729,,Services,CAD millions,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=62305729,STATCAN,Statistics Canada,,,object.vectorDataPoint.refPer,object.vectorDataPoint.value,1
can,?,https://api.economicsobservatory.com/can/?,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=62305730,62305730,,Non-profit institutions serving households' final consumption expenditure,CAD millions,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=62305730,STATCAN,Statistics Canada,,,object.vectorDataPoint.refPer,object.vectorDataPoint.value,1
