country,ecoSeries,ecoAPI,localAPI,localSeries,localDataset,Title,SubTitle,API_base,API_full,source,source_long,description,units,date,field,multiplier
gbr,popu,https://api.economicsobservatory.com/gbr/popu,https://api.ons.gov.uk/timeseries/GBPOP/dataset/POP/data,GBPOP,POP,Population,Number of people | Source: ONS through ECO API,https://api.ons.gov.uk/timeseries/{SERIES}/dataset/{DATASET}/data,https://api.ons.gov.uk/timeseries/GBPOP/dataset/POP/data,ONS,UK Office for National Statistics,,people,years.date,years.value,1
gbr,wage,https://api.economicsobservatory.com/gbr/wage,https://api.ons.gov.uk/timeseries/KAb9/dataset/LMS/data,KAb9,LMS,Weekly wage,"Total Weekly Pay Excluding Arrears, £ | Source: ONS through ECO API",https://api.ons.gov.uk/timeseries/{SERIES}/dataset/{DATASET}/data,https://api.ons.gov.uk/timeseries/KAb9/dataset/LMS/data,ONS,UK Office for National Statistics,,£ / week,months.date,months.value,1
usa,debt,https://api.economicsobservatory.com/usa/debt,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=GFDEGDQ188S,GFDEGDQ188S,,Debt,"Public Sector Net Debt, % GDP | Source: FRED through ECO API",https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=GFDEGDQ188S,FRED,US Federal Reserve Economic Data,,"% of GDP, Seasonally Adjusted",observations.date,observations.value,1
usa,infl,https://api.economicsobservatory.com/usa/infl,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=CPIAUCSL,CPIAUCSL,,Inflation,"CPI all urban consumers, % | Source: FRED through ECO API",https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=CPIAUCSL,FRED,US Federal Reserve Economic Data,,%,observations.date,observations.value,1
usa,grow,https://api.economicsobservatory.com/usa/grow,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=GDPC1,GDPC1,,Growth,"Real GDP, % | Source: FRED through ECO API",https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=GDPC1,FRED,US Federal Reserve Economic Data,,%,observations.date,observations.value,1
usa,unem,https://api.economicsobservatory.com/usa/unem,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=UNRATE,UNRATE,,Unemployment,"Ages 16 and over, % | Source: FRED through ECO API",https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=UNRATE,FRED,US Federal Reserve Economic Data,,%,observations.date,observations.value,1
usa,expo,https://api.economicsobservatory.com/usa/expo,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=EXPGS,EXPGS,,Exports,"Goods and Services, $ billion USD | Source: FRED through ECO API",https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=EXPGS,FRED,US Federal Reserve Economic Data,,"$ billion USD, Seasonally Adjusted Annual Rate",observations.date,observations.value,1
usa,impo,https://api.economicsobservatory.com/usa/impo,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=IMPGS,IMPGS,,Imports,"Goods and Services, $ billion USD | Source: FRED through ECO API",https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=IMPGS,FRED,US Federal Reserve Economic Data,,"$ billion USD, Seasonally Adjusted Annual Rate",observations.date,observations.value,1
usa,prod,https://api.economicsobservatory.com/usa/prod,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=OPHNFB,OPHNFB,,Productivity,"Output per hour, Index 2012 = 100, Seasonally Adjusted | Source: FRED through ECO API",https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=OPHNFB,FRED,US Federal Reserve Economic Data,,"Index 2012 = 100, Seasonally Adjusted",observations.date,observations.value,1
usa,inac,https://api.economicsobservatory.com/usa/inac,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=LRIN64TTUSQ156S,LRIN64TTUSQ156S,,Inactivity,"Age 15-64, % workforce | Source: FRED through ECO API",https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=LRIN64TTUSQ156S,FRED,US Federal Reserve Economic Data,,%,observations.date,observations.value,1
usa,ineq,https://api.economicsobservatory.com/usa/ineq,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=SIPOVGINIUSA,SIPOVGINIUSA,,Inequality,"Gini coefficient, Disposable income | Source: FRED through ECO API",https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=SIPOVGINIUSA,FRED,US Federal Reserve Economic Data,,Index,observations.date,observations.value,1
usa,wage,https://api.economicsobservatory.com/usa/wage,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=LES1252881600Q,LES1252881600Q,,Weekly wage,"Median weekly real earnings, wage and salary workers, 16 years and over, 1982-84 CPI Adjusted Dollars, Seasonally Adjusted | Source: FRED through ECO API",https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=LES1252881600Q,FRED,US Federal Reserve Economic Data,,"1982-84 CPI Adjusted Dollars, Seasonally Adjusted",observations.date,observations.value,1
can,debt,https://api.economicsobservatory.com/can/debt,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=86822802,,,Debt,% | Source: STATCAN through ECO API,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=86822802,STATCAN,Statistics Canada,,%,object.vectorDataPoint.refPer,object.vectorDataPoint.value,1
can,by10,https://api.economicsobservatory.com/can/by10,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=39055,,,10-year bond yield,% | Source: STATCAN through ECO API,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=39055,STATCAN,Statistics Canada,,%,object.vectorDataPoint.refPer,object.vectorDataPoint.value,1
can,infl,https://api.economicsobservatory.com/can/infl,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=108785713,108785713,18100256,Inflation,"CPI all, % | Source: STATCAN through ECO API",https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=108785713,STATCAN,Statistics Canada,,%,object.vectorDataPoint.refPer,object.vectorDataPoint.value,1
can,unem,https://api.economicsobservatory.com/can/unem,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=2062815,2062815,14100287,Unemployment,% | Source: STATCAN through ECO API,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=2062815,STATCAN,Statistics Canada,,%,object.vectorDataPoint.refPer,object.vectorDataPoint.value,1
can,empl,https://api.economicsobservatory.com/can/empl,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=2062817,2062817,14100287,Employment rate,% | Source: STATCAN through ECO API,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=2062817,STATCAN,Statistics Canada,,%,object.vectorDataPoint.refPer,object.vectorDataPoint.value,1
can,empd,https://api.economicsobservatory.com/can/empd,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=2062811,2062811,14100287,Employed,Thousands | Source: STATCAN through ECO API,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=2062811,STATCAN,Statistics Canada,,thousands,object.vectorDataPoint.refPer,object.vectorDataPoint.value,1
can,prod,https://api.economicsobservatory.com/can/prod,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=111384112,,,Productivity,Chained $ 2012 CAN / hour | Source: STATCAN through ECO API,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=111384112,STATCAN,Statistics Canada,,Chained $ 2012 CAN / hour,object.vectorDataPoint.refPer,object.vectorDataPoint.value,1
can,ineq,https://api.economicsobservatory.com/can/ineq,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=96439636,,,Inequality,Gini coefficient | Source: STATCAN through ECO API,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=96439636,STATCAN,Statistics Canada,,Index,object.vectorDataPoint.refPer,object.vectorDataPoint.value,1
can,popu,https://api.economicsobservatory.com/can/popu,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=2062809,2062809,14100287,Population,Thousands | Source: STATCAN through ECO API,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=2062809,STATCAN,Statistics Canada,,thousands,object.vectorDataPoint.refPer,object.vectorDataPoint.value,1
can,wage,https://api.economicsobservatory.com/can/wage,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=105812714,,,Weekly wage,$ CAN / week | Source: STATCAN through ECO API,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=105812714,STATCAN,Statistics Canada,,$ CAN / week,object.vectorDataPoint.refPer,object.vectorDataPoint.value,1
aus,infl,https://api.economicsobservatory.com/aus/infl,https://api.data.abs.gov.au/data/CPI/3.10001.10.50.Q?detail=dataonly&format=jsondata,3.10001.10.50.Q,CPI,Inflation,CPI all | Source: ABS through ECO API,https://api.data.abs.gov.au/data/${y}/${x}?detail=dataonly&format=jsondata,https://api.data.abs.gov.au/data/CPI/3.10001.10.50.Q?detail=dataonly&format=jsondata,ABS,Australian Bureau of Statistics,,%,TIME_PERIOD,OBS_VALUE,1
aus,empd,https://api.economicsobservatory.com/aus/empd,https://api.data.abs.gov.au/data/ABS_LABOUR_ACCT/M9.AUS.TOTAL.A?detail=dataonly&format=jsondata,M9.AUS.TOTAL.A,ABS_LABOUR_ACCT,Employed,Total jobs all industries | Source: ABS through ECO API,https://api.data.abs.gov.au/data/${y}/${x}?detail=dataonly&format=jsondata,https://api.data.abs.gov.au/data/ABS_LABOUR_ACCT/M9.AUS.TOTAL.A?detail=dataonly&format=jsondata,ABS,Australian Bureau of Statistics,,,TIME_PERIOD,OBS_VALUE,1
aus,prod,https://api.economicsobservatory.com/aus/prod,https://api.data.abs.gov.au/data/ANA_AGG/M5.GVA_MKT_PHW.10.AUS.Q?detail=dataonly&format=jsondata,M5.GVA_MKT_PHW.10.AUS.Q,ANA_AGG,Productivity,$ AUD / hour | Source: ABS through ECO API,https://api.data.abs.gov.au/data/${y}/${x}?detail=dataonly&format=jsondata,https://api.data.abs.gov.au/data/ANA_AGG/M5.GVA_MKT_PHW.10.AUS.Q?detail=dataonly&format=jsondata,ABS,Australian Bureau of Statistics,,$ AUD / hour,TIME_PERIOD,OBS_VALUE,1
aus,inac,https://api.economicsobservatory.com/aus/inac,https://api.data.abs.gov.au/data/ABS_LABOUR_ACCT/M26.AUS.TOTAL.A?detail=dataonly&format=jsondata,M26.AUS.TOTAL.A,ABS_LABOUR_ACCT,Inactivity,% | Source: ABS through ECO API,https://api.data.abs.gov.au/data/${y}/${x}?detail=dataonly&format=jsondata,https://api.data.abs.gov.au/data/ABS_LABOUR_ACCT/M26.AUS.TOTAL.A?detail=dataonly&format=jsondata,ABS,Australian Bureau of Statistics,,%,TIME_PERIOD,OBS_VALUE,1
nga,infl,https://api.economicsobservatory.com/nga/infl,https://nigeria.opendataforafrica.org//api/2.0/data?datasetId=NGNBSNCPIR2017&timerange=1970M1-2025M12&location=NG&item=KN.I1&indicator=KN.N1&measure=KN.M8,,,Inflation,% | Source: NBS through ECO API,https://nigeria.opendataforafrica.org//api/2.0/data?datasetId={x}&timerange=2008M1-2018M12&location=NG&item=KN.I1&indicator=KN.N1&measure=KN.M8,https://nigeria.opendataforafrica.org//api/2.0/data?datasetId=NGNBSNCPIR2017&timerange=1970M1-2025M12&location=NG&item=KN.I1&indicator=KN.N1&measure=KN.M8,NBS,Nigerian Bureau of Statistics,,%,data.Time,data.Value,1
nga,popu,https://api.economicsobservatory.com/nga/popu,https://nso-nigeria.opendataforafrica.org/api/2.0/data?datasetId=seujnx&indicator=99Z...F...{Z},,,Population,people | Source: NBS through ECO API,https://nso-nigeria.opendataforafrica.org/api/2.0/data?datasetId={y}&indicator={x},https://nso-nigeria.opendataforafrica.org/api/2.0/data?datasetId=seujnx&indicator=99Z...F...{Z},NBS,Nigerian Bureau of Statistics,,people,data.Time,data.Value,1
nga,unem,https://api.economicsobservatory.com/nga/unem,https://nso-nigeria.opendataforafrica.org/api/2.0/data?datasetId=bgzgbcg&timerange=1970-2025&frequency=A&state=NG&indicator=6201019,,,Unemployment,% | Source: NBS through ECO API,https://nso-nigeria.opendataforafrica.org/api/2.0/data?datasetId={y}&indicator={x},https://nso-nigeria.opendataforafrica.org/api/2.0/data?datasetId=bgzgbcg&timerange=1970-2025&frequency=A&state=NG&indicator=6201019,NBS,Nigerian Bureau of Statistics,,%,data.Time,data.Value,1
nga,grow,https://api.economicsobservatory.com/nga/grow,https://nso-nigeria.opendataforafrica.org/api/2.0/data?datasetId=sxyxbgb&indicator=KN.A4,,,Growth,% | Source: NBS through ECO API,https://nso-nigeria.opendataforafrica.org/api/2.0/data?datasetId={y}&indicator={x},https://nso-nigeria.opendataforafrica.org/api/2.0/data?datasetId=sxyxbgb&indicator=KN.A4,NBS,Nigerian Bureau of Statistics,,%,data.Time,data.Value,1
gbr,expo,https://api.economicsobservatory.com/gbr/expo,https://api.ons.gov.uk/timeseries/LQAD/dataset/UKEA/data,LQAD,UKEA,Exports,"Goods, Â£ million GBP | Source: ONS through ECO API",https://api.ons.gov.uk/timeseries/{SERIES}/dataset/{DATASET}/data,https://api.ons.gov.uk/timeseries/LQAD/dataset/UKEA/data,ONS,UK Office for National Statistics,"Trade in Goods, T, WW, Exports, BOP, CP, NSA",Â£ million,quarters.date,quarters.value,1
gbr,impo,https://api.economicsobservatory.com/gbr/impo,https://api.ons.gov.uk/timeseries/LQBL/dataset/UKEA/data,LQBL,UKEA,Imports,"Goods, Â£ million GBP | Source: ONS through ECO API",https://api.ons.gov.uk/timeseries/{SERIES}/dataset/{DATASET}/data,https://api.ons.gov.uk/timeseries/LQBL/dataset/UKEA/data,ONS,UK Office for National Statistics,"Trade in Goods, T, WW, Imports, BOP, CP, NSA",Â£ million,quarters.date,quarters.value,1
gbr,army,https://api.economicsobservatory.com/gbr/army,https://api.ons.gov.uk/timeseries/C9LL/dataset/PSE/data,C9LL,PSE,Military,"Employment, thousands | Source: ONS through ECO API",https://api.ons.gov.uk/timeseries/{SERIES}/dataset/{DATASET}/data,https://api.ons.gov.uk/timeseries/C9LL/dataset/PSE/data,ONS,UK Office for National Statistics,"Public Sector Employment by Industry, HM Forces, UK, FTE, NSA, Thousands",thousands,quarters.date,quarters.value,1
gbr,psem,https://api.economicsobservatory.com/gbr/psem,https://api.ons.gov.uk/timeseries/G7G3/dataset/PSE/data,G7G3,PSE,Public Sector,"Employment, thousands | Source: ONS through ECO API",https://api.ons.gov.uk/timeseries/{SERIES}/dataset/{DATASET}/data,https://api.ons.gov.uk/timeseries/G7G3/dataset/PSE/data,ONS,UK Office for National Statistics,"Public Sector Employment by Industry, Total Public Sector, UK, FTE, NSA, Thousands",thousands,quarters.date,quarters.value,1
gbr,poem,https://api.economicsobservatory.com/gbr/poem,https://api.ons.gov.uk/timeseries/C9LM/dataset/PSE/data,C9LM,PSE,Police,"Employment, thousands | Source: ONS through ECO API",https://api.ons.gov.uk/timeseries/{SERIES}/dataset/{DATASET}/data,https://api.ons.gov.uk/timeseries/C9LM/dataset/PSE/data,ONS,UK Office for National Statistics,"Public Sector Employment by Industry, Police, UK, FTE, NSA, Thousands",thousands,quarters.date,quarters.value,1
gbr,teem,https://api.economicsobservatory.com/gbr/teem,https://api.ons.gov.uk/timeseries/G7GI/dataset/PSE/data,G7GI,PSE,Teachers,"Employment, thousands | Source: ONS through ECO API",https://api.ons.gov.uk/timeseries/{SERIES}/dataset/{DATASET}/data,https://api.ons.gov.uk/timeseries/G7GI/dataset/PSE/data,ONS,UK Office for National Statistics,"Public Sector Employment by Industry, Education, UK, FTE, NSA, Thousands",thousands,quarters.date,quarters.value,1
gbr,redu,https://api.economicsobservatory.com/gbr/redu,https://api.ons.gov.uk/timeseries/BEAO/dataset/LMS/data,BEAO,LMS,Redundancies,"UK, thousands | Source: ONS through ECO API",https://api.ons.gov.uk/timeseries/{SERIES}/dataset/{DATASET}/data,https://api.ons.gov.uk/timeseries/BEAO/dataset/LMS/data,ONS,UK Office for National Statistics,"LFS, ILO redundancy level, UK, All, SA",thousands,months.date,months.value,1
gbr,long,https://api.economicsobservatory.com/gbr/long,https://api.ons.gov.uk/timeseries/LWZV/dataset/LMS/data,LWZV,LMS,Long weeks,"45+ hours work, % employees | Source: ONS through ECO API",https://api.ons.gov.uk/timeseries/{SERIES}/dataset/{DATASET}/data,https://api.ons.gov.uk/timeseries/LWZV/dataset/LMS/data,ONS,UK Office for National Statistics,"Usual weekly hours of work, Employees over 45 hrs, UK, All, SA",%,months.date,months.value,1
usa,army,https://api.economicsobservatory.com/usa/army,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=B4380C0A173NBEA,B4380C0A173NBEA,,Military,"Employment, thousands | Source: FRED through ECO API",https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=B4380C0A173NBEA,FRED,US Federal Reserve Economic Data,,thousands,observations.date,observations.value,1
usa,debc,https://api.economicsobservatory.com/usa/debc,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=DGS10,DGS10,,Debt costs,10 year government bond yield,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=DGS10,FRED,US Federal Reserve Economic Data,,%,observations.date,observations.value,1
